Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Northampton,11/23/2020,116,164.9,8246,305285,38,54,2701.1,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Forest,06/27/2020,0,0,7,7247,0,0,96.6,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Venango,06/29/2020,0,0.3,22,50668,0,0.6,43.4,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Potter,03/29/2020,0,0.1,2,16526,0,0.9,12.1,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Cameron,06/25/2020,0,0,2,4447,0,0,45,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Susquehanna,07/15/2020,0,0.7,200,40328,0,1.8,495.9,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Mercer,12/10/2020,163,126.3,4233,109424,149,115.4,3868.4,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Fulton,06/05/2020,0,0.1,16,14530,0,1,110.1,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Indiana,06/06/2020,0,0,92,84073,0,0,109.4,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Lycoming,02/15/2021,46,43.9,8988,113299,40.6,38.7,7933,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Clinton,03/02/2020,0,,0,38632,0,,0,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Lycoming,03/22/2021,33,25.7,9928,113299,29.1,22.7,8762.7,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
McKean,05/08/2020,0,0,9,40625,0,0,22.2,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Indiana,03/22/2021,9,8.6,5263,84073,10.7,10.2,6260,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
York,04/12/2020,23,20,336,449058,5.1,4.5,74.8,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
