measure,county,report_date,cases,deaths,cases_cum,death_cum,moving_avg_cases,moving_avg_deaths,antigen_cases,probable_deaths,antigen_cases_cum,probable_deaths_cum,total_cases,total_cases_cum,moving_avg_antigen_cases,moving_avg_probable_deaths,moving_avg_total_cases
state_total,Georgia,2020-09-06,1624,59,280203,5994,2026.57142857142,62.8571428571428,34,0,13372,168,1658,293575,217,1,2243.57142857142
state_total,Georgia,2020-09-07,587,6,280790,6000,1896.71428571428,59.7142857142857,198,1,13570,169,785,294360,214.857142857142,0.57142857142857,2111.57142857142
state_total,Georgia,2020-09-08,1473,25,282263,6025,1788.71428571428,48.5714285714285,243,4,13813,173,1716,296076,211.285714285714,1,2000
state_total,Georgia,2020-09-09,1874,58,284137,6083,1775.28571428571,47.7142857142857,228,1,14041,174,2102,298178,186.714285714285,1.14285714285714,1962
state_total,Georgia,2020-09-10,1803,74,285940,6157,1652.42857142857,47.7142857142857,360,16,14401,190,2163,300341,197.285714285714,3.42857142857142,1849.71428571428
state_total,Georgia,2020-09-11,1817,43,287757,6200,1622.28571428571,44.7142857142857,271,2,14672,192,2088,302429,201.285714285714,3.57142857142857,1823.57142857142
state_total,Georgia,2020-09-12,2075,38,289832,6238,1607.57142857142,43.2857142857142,100,20,14772,212,2175,304604,204.857142857142,6.28571428571428,1812.42857142857
state_total,Georgia,2020-09-13,1410,46,291242,6284,1577,41.4285714285714,53,1,14825,213,1463,306067,207.571428571428,6.42857142857143,1784.57142857142
state_total,Georgia,2020-09-14,1019,17,292261,6301,1638.71428571428,43,342,5,15167,218,1361,307428,228.142857142857,7,1866.85714285714
state_total,Georgia,2020-09-15,1522,45,293783,6346,1645.71428571428,45.8571428571428,299,1,15466,219,1821,309249,236.142857142857,6.57142857142857,1881.85714285714
state_total,Georgia,2020-09-16,2155,23,295938,6369,1685.85714285714,40.8571428571428,483,4,15949,223,2638,311887,272.571428571428,7,1958.42857142857
state_total,Georgia,2020-09-17,1815,52,297753,6421,1687.57142857142,37.7142857142857,234,0,16183,223,2049,313936,254.571428571428,4.71428571428571,1942.14285714285
state_total,Georgia,2020-09-18,1817,61,299570,6482,1687.57142857142,40.2857142857142,361,2,16544,225,2178,316114,267.428571428571,4.71428571428571,1955
state_total,Georgia,2020-09-19,2183,59,301753,6541,1703,43.2857142857142,78,0,16622,225,2261,318375,264.285714285714,1.85714285714285,1967.28571428571
